Critter{camera=Camera{pos=(4.3825765; 2.0623832; -11.607909), front=(-0.0060155992; 9.969658E-4; 0.9999814), up=(5.99735E-6; 0.9999995; -9.969478E-4), right=(0.99998194; -0.0; 0.0060156025)}, model=Model{modelFileName=icosphere.obj, texture=marble.png, pos=(4.3825765; 2.0123856; -11.607909), scale=0.05, color=(1.0; 1.0; 1.0; 1.0), passable=false}}
Block{texture=stone.png, pos=(2.249; 2.001; -13.007999), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=doom.png, pos=(4.25; 4.002; -13.007999), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=stone.png, pos=(6.251; 2.001; -13.007999), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=stone.png, pos=(4.25; 2.001; -13.007999), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=crate.png, pos=(6.251; 4.002; -13.007999), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=crate.png, pos=(2.249; 4.002; -13.007999), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=stone.png, pos=(2.249; 0.0; -11.007), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=stone.png, pos=(0.24800014; 2.001; -11.007), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=stone.png, pos=(2.249; 4.002; -11.007), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=stone.png, pos=(6.251; 4.002; -11.007), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=stone.png, pos=(8.252; 2.001; -11.007), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=stone.png, pos=(6.251; 0.0; -11.007), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=stone.png, pos=(4.25; 0.0; -11.007), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=stone.png, pos=(8.252; 2.001; -9.006), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=stone.png, pos=(2.249; 0.0; -9.006), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=stone.png, pos=(6.251; 0.0; -9.006), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=stone.png, pos=(2.249; 4.002; -9.006), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=stone.png, pos=(6.251; 4.002; -9.006), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=stone.png, pos=(4.25; 0.0; -9.006), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=stone.png, pos=(0.24800014; 2.001; -9.006), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=stone.png, pos=(8.252; 0.0; -7.0049996), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=crate.png, pos=(0.24800014; 2.001; -7.0049996), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=stone.png, pos=(4.25; 4.002; -7.0049996), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=stone.png, pos=(4.25; 0.0; -7.0049996), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=crate.png, pos=(6.251; 2.001; -7.0049996), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=stone.png, pos=(6.251; 0.0; -7.0049996), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=crate.png, pos=(8.252; 2.001; -7.0049996), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=stone.png, pos=(2.249; 0.0; -7.0049996), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=stone.png, pos=(0.24800014; 0.0; -7.0049996), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=doom.png, pos=(6.251; 4.002; -7.0049996), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=crate.png, pos=(2.249; 2.001; -7.0049996), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=doom.png, pos=(2.249; 4.002; -7.0049996), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=stone.png, pos=(6.251; -2.001; -5.0039997), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=stone.png, pos=(8.252; 2.001; -5.0039997), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=stone.png, pos=(2.249; -2.001; -5.0039997), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=stone.png, pos=(8.252; 0.0; -5.0039997), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=stone.png, pos=(4.25; -2.001; -5.0039997), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
Block{texture=stone.png, pos=(0.24800014; 2.001; -5.0039997), scale=1.0, color=(1.0; 1.0; 1.0; 1.0), passable=false}
